Time	Event	Origin	Dest	Weight
10	    D	    1000	1044	10
25	    D	    1044	1031	83
35	    D	    1020	1029	14
45	    D	    1000	1017	25
45	    D	    1000	1022	17
55	    D	    1025	1050	10
55	    D	    1027	1051	15
150	    D	    1040	1048	30
155	    D	    1041	1001	35
160	    D	    1000	1044	10
165	    D	    1020	1031	83
175	    D	    1020	1029	14
180	    D	    1000	1017	25
180	    D	    1000	1022	17
195	    D	    1025	1050	10
197	    D	    1027	1051	15
200	    D	    1040	1048	30
210	    D	    1041	1001	35
